name,hex_code,category
Black,#000000,Black
White,#FFFFFF,White
Red,#FF0000,Red
Green,#008000,Green
Blue,#0000FF,Blue
Yellow,#FFFF00,Yellow
Orange,#FFA500,Orange
Purple,#800080,Purple
Pink,#FFC0CB,Pink
Brown,#8B4513,Brown
Grey,#808080,Grey
Gray,#808080,Grey
Beige,#F5F5DC,Beige
Cream,#FFFDD0,Cream
Maroon,#800000,Red
Navy,#000080,Blue
Olive,#808000,Green
Teal,#008080,Blue
Cyan,#00FFFF,Blue
Magenta,#FF00FF,Purple
Jet Black,#343434,Black
Ice Black,#1A1A1A,Black
Matte Black,#28282B,Black
Soft Black,#2F2F2F,Black
Deep Black,#050505,Black
Carbon Black,#100C08,Black
Charcoal Black,#36454F,Black
Midnight Black,#191970,Black
Coal Black,#2B2B2B,Black
Raven Black,#141414,Black
Ebony,#555D50,Black
Onyx,#353839,Black
Ink Black,#0A0A0A,Black
Smoke Black,#1C1C1C,Black
Shadow Black,#111111,Black
Ash Black,#4A4A4A,Black
Graphite Black,#383838,Black
Velvet Black,#0F0F0F,Black
Rich Black,#004040,Black
Pitch Black,#030303,Black
Snow White,#FFFAFA,White
Pearl White,#F8F6F0,White
Ivory,#FFFFF0,White
Off White,#FAF9F6,White
Eggshell,#F0EAD6,White
Milk White,#FEFCFF,White
Cotton White,#FDFDFD,White
Silk White,#F8F8FF,White
Cloud White,#F5F5F5,White
Linen,#FAF0E6,Cream
Vanilla,#F3E5AB,Cream
Champagne,#F7E7CE,Cream
Almond,#EFDECD,Cream
Bone,#E3DAC9,Cream
Antique White,#FAEBD7,Cream
Seashell,#FFF5EE,Cream
Floral White,#FFFAF0,Cream
Ghost White,#F8F8FF,Cream
Light Cream,#FFFDD0,Cream
Warm White,#FDF5E6,Cream
Sky Blue,#87CEEB,Blue
Royal Blue,#4169E1,Blue
Navy Blue,#000080,Blue
Baby Blue,#89CFF0,Blue
Powder Blue,#B0E0E6,Blue
Steel Blue,#4682B4,Blue
Denim Blue,#1560BD,Blue
Ocean Blue,#4F42B5,Blue
Deep Blue,#00008B,Blue
Light Blue,#ADD8E6,Blue
Dark Blue,#00008B,Blue
Azure,#007FFF,Blue
Turquoise,#40E0D0,Blue
Aqua,#00FFFF,Blue
Peacock Blue,#005F69,Blue
Sapphire Blue,#0F52BA,Blue
Cobalt Blue,#0047AB,Blue
Cornflower Blue,#6495ED,Blue
